id;nombre
306;SATIVANORTE
307;SATIVASUR
308;SIACHOQUE
309;SOATA
310;SOCOTA
311;SOCHA
312;SOGAMOSO
313;SOMONDOCO
314;SORA
315;SOTAQUIRA
316;SORACA
317;SUSACON
318;SUTAMARCHAN
319;SUTATENZA
320;TASCO
321;TENZA
322;TIBANA
323;TIBASOSA
324;TINJACA
325;TIPACOQUE
326;TOCA
327;TOGUI
328;TOPAGA
329;TOTA
330;TUNUNGUA
331;TURMEQUE
332;TUTA
333;TUTASA
334;UMBITA
335;VENTAQUEMADA
336;VIRACACHA
337;ZETAQUIRA
338;MANIZALES
339;AGUADAS
340;ANSERMA
341;ARANZAZU
342;BELALCAZAR
343;CHINCHINA
344;FILADELFIA
345;LA DORADA
346;LA MERCED
347;MANZANARES
348;MARMATO
349;MARQUETALIA
350;MARULANDA
351;NEIRA
352;NORCASIA
353;PACORA
354;PALESTINA
355;PENSILVANIA
356;RIOSUCIO
357;RISARALDA
358;SALAMINA
359;SAMANA
360;SAN JOSE
361;SUPIA
362;VICTORIA
363;VILLAMARIA
364;VITERBO
365;FLORENCIA
366;ALBANIA
367;BELEN DE LOS ANDAQUIES
368;CARTAGENA DEL CHAIRA
369;CURILLO
370;EL DONCELLO
371;EL PAUJIL
372;LA MONTAÑITA
373;MILAN
374;MORELIA
375;PUERTO RICO
376;SAN JOSE DE FRAGUA
377;SAN VICENTE DEL CAGUAN
378;SOLANO
379;SOLITA
380;VALPARAISO
381;POPAYAN
382;ALMAGUER
383;ARGELIA
384;BALBOA
385;BOLIVAR
386;BUENOS AIRES
387;CAJIBIO
388;CALDONO
389;CALOTO
390;CORINTO
391;EL TAMBO
392;FLORENCIA
393;GUAPI
394;INZA
395;JAMBALO
396;LA SIERRA
397;LA VEGA
398;LOPEZ (MICAY)
399;MERCADERES
400;MIRANDA
401;MORALES
402;PADILLA
403;PAEZ (BELALCAZAR)
404;PATIA (EL BORDO)
405;PIAMONTE
406;PIENDAMO
407;PUERTO TEJADA
408;PURACE (COCONUCO)
409;ROSAS
410;SAN SEBASTIAN
411;SANTANDER DE QUILICHAO
412;SANTA ROSA
413;SILVIA
414;SOTARA (PAISPAMBA)
415;SUAREZ
416;TIMBIO
417;TIMBIQUI
418;TORIBIO
419;TOTORO
420;VILLARICA
421;VALLEDUPAR
422;AGUACHICA
423;AGUSTIN CODAZZI
424;ASTREA
425;BECERRIL
426;BOSCONIA
427;CHIMICHAGUA
428;CHIRIGUANA
429;CURUMANI
430;EL COPEY
431;EL PASO
